,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
Outdoor PC(0.1),1.0,0.9956578165709307,0.9489419281556751,0.8740792732151337,0.633147724471336,0.43311628120953527,0.020879339614329636,0.9999999999999524,0.9963614121488893,0.9707217368863211,0.9495409494208131,0.9197212892112907,0.9051589160359794,0.9047611872146913,-0.20967486848693948,0.17562506801747585,0.28273411734320736,0.32272203046657194,-0.24332254694395056,-0.002348534270140161,0.002872807490053337,0.008721612349656798,0.008923524575474573,0.008721611165322165,0.008960216575430514,0.009146050222739985,0.00896021950601162,0.021043014795026266,0.008721609893695779,0.0009918134031121331,0.0028183118244180802,0.009170597244406739,0.008721611727097395,0.008721612335580923,0.008721612524357727,0.008938899360877241,0.008721615480113765,0.008721615529979607,-0.019250645977280347
Outdoor PC(0.3),0.9956578165709307,1.0,0.9687445822710412,0.9033882502688428,0.676621807167478,0.4758457047186391,0.03519409982662413,0.9956578165957117,0.9999688626475416,0.9855305628736789,0.9693494838057137,0.9442857908143792,0.9312682094878081,0.9308987887242757,-0.20717682630408843,0.15631843282941052,0.2751383087978677,0.29833444800445214,-0.2215166253191206,0.007363008257895435,0.0019508722240529953,0.0026558376228671093,0.0028602663016327693,0.0026558365866964618,0.002896331728967309,0.0010802947649997516,0.0028963350410786196,0.013927499227433297,0.002655835306768753,-0.003475557978002692,-0.0046236597074337145,0.001104573752389019,0.0026558373036370056,0.002655837596075628,0.0026558378997787874,0.002886614226550535,0.0026558413519776345,0.0026558415723679694,-0.013111771499173948
Outdoor PC(0.5),0.9489419281556751,0.9687445822710412,1.0,0.9618610433881606,0.7804612179673617,0.5846738616991838,0.06530397109221082,0.9489419282975086,0.9673922892707054,0.9967705889641298,0.996455498372762,0.9857877723342335,0.9777669023726905,0.9774800409400384,-0.18748142529990972,0.10667101498403947,0.2706554482532672,0.24323656263871832,-0.17370973245016968,0.014617002130180108,-0.0002886098616273718,-0.00894969363493331,-0.008836370495665605,-0.00894969449557006,-0.008803272862781607,-0.013733712466362655,-0.008803269180876728,0.0013133126010148983,-0.008949695561963596,-0.010301699463490629,-0.017290605424918594,-0.01371069913773265,-0.008949693486814667,-0.008949693730844662,-0.008949693298698463,-0.008796781293682086,-0.00894968932493538,-0.008949688847728357,-0.0013154007350102614
Outdoor PC(1.0),0.8740792732151337,0.9033882502688428,0.9618610433881606,1.0,0.9102690687357142,0.765530914478381,0.2303668256365963,0.8740792733933869,0.9012080595489133,0.949468917011768,0.9770863490112891,0.9924028877791427,0.9955476198236953,0.9955950637153155,-0.21429468566431897,0.12526282798971577,0.22935538806213332,0.23849215684446812,-0.15911580218903595,0.04403066913606288,-0.0008339827996975273,-0.012948902841421448,-0.01272764062148175,-0.012948903661922397,-0.012697999882191884,-0.01839769135276511,-0.012697996122488207,-0.005675059968933359,-0.012948904582069619,-0.014633747964959603,-0.02090559748391352,-0.01837671171619747,-0.01294890254275722,-0.012948902932763988,-0.01294890254198004,-0.012691945483706966,-0.012948898268718166,-0.012948897706614806,-0.007434687593999577
Outdoor PC(2.5),0.633147724471336,0.676621807167478,0.7804612179673617,0.9102690687357142,1.0,0.957287338441068,0.44800947832463217,0.6331477246894697,0.6731643928046356,0.7519914081750053,0.8132688434258609,0.8691035908365985,0.8899311353397121,0.8905160348891401,-0.193382750768663,0.11136767451918682,0.12934457022226495,0.1682756919054299,-0.09963656202180692,0.0632828436787159,-0.001161510957464871,-0.013290349893969561,-0.013154972625782892,-0.013290350466082294,-0.013134724446782153,-0.01816302226464463,-0.013134721236197466,-0.011788596431061555,-0.013290351285197073,-0.01532980101781778,-0.020055283831129044,-0.018148308173062847,-0.01329034943215006,-0.01329034987934556,-0.013290349572126704,-0.013120612953794157,-0.013290345417688235,-0.013290344803519762,-0.00748413574716277
Outdoor PC(5.0),0.43311628120953527,0.4758457047186391,0.5846738616991838,0.765530914478381,0.957287338441068,1.0,0.6091021984200699,0.4331162814321869,0.4723837632763823,0.5532291724794818,0.630251217237906,0.7059384428886393,0.7368951400903054,0.737854640195801,-0.16424858367320155,0.09693535531616006,0.053835140997478,0.11290700654297511,-0.0608943826847922,0.061620489380013126,-0.0010868513128726982,-0.010041688423954887,-0.010062104287697578,-0.010041688816310347,-0.010046429289723562,-0.013891583510897015,-0.010046426883498986,-0.011461237541666745,-0.010041689499975618,-0.01281919373572869,-0.015523959287080611,-0.01388019119225112,-0.010041688011037681,-0.010041688370395076,-0.010041688156088167,-0.010043031409847018,-0.010041684657603566,-0.010041684121971834,-0.013829575958498897
Outdoor PC(10.0),0.020879339614329636,0.03519409982662413,0.06530397109221082,0.2303668256365963,0.44800947832463217,0.6091021984200699,1.0,0.020879339797458478,0.033992460062524,0.05584105601336624,0.11462859976580654,0.17709508012365233,0.20745261137523505,0.20871198511107755,-0.036166679528401774,0.0022579923639084723,-0.031328473942158326,-0.0214845643871825,0.015382742537371269,0.012831466306002279,-5.783770561564654e-05,-0.0005082099345702911,-0.0005111535533859175,-0.0005082099355295955,-0.0005104617548019414,-0.000700877232170259,-0.0005104617506900931,-0.0010648189944981593,-0.0005082100387088606,-0.0008444984058039201,-0.0008277986573297442,-0.000700371303751768,-0.0005082098881765136,-0.0005082099070906615,-0.0005082098685061929,-0.0005099447657476784,-0.0005082095442311902,-0.0005082095136300854,-0.00988856319201229
Outdoor PM(0.1),0.9999999999999524,0.9956578165957117,0.9489419282975086,0.8740792733933869,0.6331477246894697,0.4331162814321869,0.020879339797458478,1.0,0.99636141217162,0.9707217369913245,0.949540949551466,0.9197212893611376,0.9051589161934086,0.9047611873721133,-0.2096748679611558,0.17562506753242066,0.2827341175327581,0.3227220300659398,-0.24332254644372006,-0.002348534189782349,0.002872807448903074,0.00872161256548824,0.008923524681238101,0.008721611381154001,0.008960216690834629,0.009146050070718233,0.008960219621415726,0.021043014549348017,0.008721610109527237,0.0009918133396699931,0.002818311962393992,0.009170597099208444,0.008721611942928647,0.008721612551413042,0.008721612740189824,0.008938899476459239,0.008721615695945453,0.0087216157458109,-0.019250645872993882
Outdoor PM(0.3),0.9963614121488893,0.9999688626475416,0.9673922892707054,0.9012080595489133,0.6731643928046356,0.4723837632763823,0.033992460062524,0.99636141217162,1.0,0.9846072657228598,0.9679968962149972,0.9425215822365932,0.9293686585347083,0.9289967135443937,-0.20745840177260566,0.15800777911137012,0.2758749357862272,0.30050237303996535,-0.22343981132996263,0.0065422164586694,0.002029685386345248,0.003170943203263466,0.003375227565271883,0.0031709421541835535,0.0034113582459878947,0.0017644134895858042,0.0034113615268719817,0.014535394067142741,0.0031709408745281605,-0.00309801728191926,-0.003994342827600005,0.0017887233691710367,0.0031709428582116085,0.0031709431775408963,0.00317094347160391,0.003400654194175376,0.003170946882880906,0.003170947088889738,-0.013636597476211898
Outdoor PM(0.5),0.9707217368863211,0.9855305628736789,0.9967705889641298,0.949468917011768,0.7519914081750053,0.5532291724794818,0.05584105601336624,0.9707217369913245,0.9846072657228598,1.0,0.9945163421952752,0.979078119493943,0.9693731426968266,0.9690572667905707,-0.19514775883272376,0.12370533946304149,0.2742342591680104,0.26312145809371185,-0.1907112240272284,0.012160841992933949,0.0004443409402095762,-0.005170534703219021,-0.0050275668781884315,-0.00517053562971862,-0.004993272415623197,-0.00891774652300658,-0.0049932688346862285,0.005514635707476426,-0.005170536771306219,-0.008091044079578731,-0.013198012877048729,-0.008894158580187222,-0.005170534710404369,-0.005170534777559346,-0.005170534386119752,-0.0049921865449392075,-0.005170530562441618,-0.005170530167823915,-0.005231117983709951
