Sensor,Feature,Permutation_Importance,SHAP_Value
ind01,Outdoor Humidity,0.1049234083272548,0.28912958552782186
ind01,585nm,0.1298264112572357,0.3010779738103021
ind01,Outdoor Dew Point,0.4700764161037207,0.6199828828176004
ind01,Outdoor Temperature,0.2890072285023235,0.94273418551649
ind01,Outdoor PC(1.0),0.2879370082871395,2.326916798051476
ind01,Outdoor PC(0.5),0.611344633376903,4.6568854980790935
ind02,Outdoor Pressure,0.027863363934791698,0.20473003501353979
ind02,Outdoor Dew Point,0.018884093796424306,0.25286628576606635
ind02,SolarZenithAngle,0.019285055943890562,0.30309251877621474
ind02,585nm,0.0368254295646411,0.3998325242706814
ind02,Outdoor Temperature,0.04146679803996807,0.4421950155797008
ind02,Outdoor PC(0.1),0.021689400420184413,0.4766267399085422
ind02,Outdoor PM(5.0),0.02003767605060045,0.586312765111505
ind02,Outdoor PC(1.0),0.42669561076693013,2.7473202172957163
ind02,Outdoor PC(0.5),0.7209062759450601,4.728234608383954
ind03,Outdoor Pressure,0.01711162135514288,0.2216068779272681
ind03,Outdoor PC(2.5),0.008010119609224153,0.25004677485199134
ind03,645nm,0.017197983791809347,0.2755815528727076
ind03,Outdoor Dew Point,0.01985091183067871,0.29657256293724965
ind03,585nm,0.027592519877615372,0.31927148454913234
ind03,SolarZenithAngle,0.018996585214015614,0.4005379121290547
ind03,Outdoor Temperature,0.02787921370905022,0.4286408474926998
ind03,Outdoor PC(0.1),0.023061287712405766,0.4462703716711714
ind03,Outdoor PC(1.0),0.3718381449954228,2.638551966308167
ind03,Outdoor PC(0.5),0.8404908043272418,4.802617938864031
ind04,645nm,0.017944511386605667,0.2006337089526012
ind04,SolarZenithAngle,0.011477341950939279,0.22993418196027998
ind04,Outdoor Dew Point,0.014212888138456559,0.25793010069318406
ind04,Outdoor Temperature,0.02307915671893117,0.30538736255832144
ind04,Outdoor PC(5.0),0.01604861544918732,0.3729681141484443
ind04,Outdoor PC(0.1),0.014057009052451108,0.3762864869024374
ind04,585nm,0.034865197667457194,0.4123424867172811
ind04,Outdoor PC(1.0),0.44007535098573713,3.2477404281518343
ind04,Outdoor PC(0.5),0.9125283236905158,5.0886612291146935
ind06,Outdoor Pressure,0.010346597587125772,0.15031962644474464
ind06,585nm,0.02497169734829412,0.2938977407943825
ind06,645nm,0.015917440670106208,0.29924801138285345
ind06,Outdoor Temperature,0.019647795236929656,0.3523256766753082
ind06,Outdoor PM(5.0),0.02484162514313708,0.6435879696089001
ind06,Outdoor PC(1.0),0.2664825171802527,2.6221158734319028
ind06,Outdoor PC(0.5),0.23923488491086564,2.756887221196655
ind06,Outdoor PM(2.5),0.21702454162464413,2.956609080032436
ind07,Outdoor Pressure,0.019139610250590144,0.21300610928706462
ind07,Outdoor Dew Point,0.014892962985054447,0.25525891297915654
ind07,SolarZenithAngle,0.013442723017464075,0.3143532535353386
ind07,585nm,0.02165031467820324,0.3146952372762958
ind07,Outdoor PM(2.5),0.013992760433069695,0.38812980863857166
ind07,Outdoor Temperature,0.022438941270663416,0.4374148783267926
ind07,Outdoor PM(5.0),0.03534524071084548,0.9079599190334156
ind07,Outdoor PC(1.0),0.34084649170319203,2.7336285145412647
ind07,Outdoor PC(0.5),0.6004565773435291,4.6157838062795005
ind08,Outdoor Dew Point,0.009711306171006994,0.23438036054509656
ind08,Outdoor Pressure,0.010788059069560573,0.2479608536000514
ind08,Outdoor PC(0.1),0.007951898489067698,0.254801081722225
ind08,585nm,0.013761014408554994,0.2591723271252998
ind08,Outdoor Temperature,0.025339000640553788,0.5615385781271611
ind08,Outdoor PM(5.0),0.015764975783757972,0.6197372528110893
ind08,Outdoor PM(2.5),0.09033548082342016,1.4350623650233099
ind08,Outdoor PC(1.0),0.306614810837545,2.3704102537275498
ind08,Outdoor PC(0.5),0.3887088101154804,3.604045066337789
ind09,585nm,0.021244572884486602,0.2007921301828687
ind09,Outdoor Pressure,0.02724130674937717,0.24874100356682832
ind09,Outdoor PC(2.5),0.023781359377723854,0.26186609811686423
ind09,645nm,0.023083394748699915,0.33677740225724867
ind09,Outdoor Dew Point,0.028080960300003156,0.36360023423623605
ind09,Outdoor Temperature,0.05127867402931481,0.5344336795718927
ind09,Outdoor PC(0.1),0.04070828738540071,0.5965926821378414
ind09,Outdoor PM(5.0),0.06948229477036968,1.095009964850172
ind09,Outdoor PC(1.0),0.46833236813160006,2.6774034165092635
ind09,Outdoor PC(0.5),0.473043901577448,3.366040901348869
ind10,Outdoor Pressure,0.021046475574078304,0.2642267169312228
ind10,Outdoor Dew Point,0.014918605525157825,0.28572171946744795
ind10,SolarZenithAngle,0.015174283016885814,0.3089786043670388
ind10,Outdoor PM(2.5),0.012927523873569125,0.4070295362797716
ind10,Outdoor PM(5.0),0.017382710267257573,0.506171401089355
ind10,Outdoor PC(0.1),0.027848165577397756,0.5345004821888157
ind10,Outdoor Temperature,0.04617261211175498,0.6367848684572645
ind10,Outdoor PC(0.5),0.19064535911710068,2.0032227999295893
ind10,Outdoor PC(1.0),0.9253527571939303,4.608474662656875
ind11,Outdoor PC(2.5),0.022292296066515838,0.2633285735610821
ind11,Outdoor Dew Point,0.13837130480429657,0.26363215732982953
ind11,585nm,0.08220491035739137,0.3793241909242953
ind11,Outdoor Temperature,0.10246139423846483,0.8552395030539465
ind11,Outdoor PC(1.0),0.3582151358716799,3.2503445745507933
ind11,Outdoor PC(0.5),0.5265983763363968,4.877018691178725
ind12,585nm,0.07705349162908012,0.3941014045875719
ind12,Outdoor PM(2.5),0.02626249922029631,0.42912392391816717
ind12,Outdoor PC(0.1),0.03061060098810626,0.5087820029804104
ind12,Outdoor Temperature,0.13537325564814356,0.9783465504396103
ind12,Outdoor PC(1.0),0.4517994869968628,3.378707626331284
ind12,Outdoor PC(0.5),0.4778119666782487,3.8693940340859196
ind13,705nm,0.041906280680018074,0.2557919077528336
ind13,645nm,0.06926132256484765,0.4558705115876481
ind13,585nm,0.3476881977896168,0.6937332668532211
ind13,Outdoor Temperature,0.10097805833066698,0.9437129769802077
ind13,Outdoor PC(0.1),0.12722580885803408,1.0131529037634734
ind13,Outdoor PC(1.0),0.32884727687508314,3.030334675124002
ind13,Outdoor PC(0.5),0.8502473143768661,5.622942594481089
ind14,Outdoor Dew Point,0.021722565409814366,0.2381719735702676
ind14,585nm,0.026678173153157615,0.27252064479594373
