Sensor,R2_Test,Outdoor PM(5.0),SolarZenithAngle,Outdoor Humidity,585nm,Outdoor PM(2.5),Outdoor PC(0.1),Outdoor Dew Point,Outdoor Temperature,Outdoor PC(1.0),Outdoor PC(0.5),Outdoor Pressure,Outdoor PC(2.5),645nm,Outdoor PC(5.0),Outdoor PM(0.5),Outdoor PC(10.0),705nm,Outdoor PC(0.3),560nm
ind01,0.8410485455660989,0.697334465939801,0.0448437787286279,0.23019572772333805,0.33706068040131537,0.0748303427068419,0.02673738313515923,0.4039716959188226,0.33881121141993187,0.2765087556562591,0.7454873051444019,,,,,,,,,
ind02,0.9660620219270901,0.026043937619528723,0.02625702727176684,,0.06705110363156981,,0.035208028348048995,0.02718274897968138,0.09925007251917455,0.3898832847480018,0.7243851040432077,0.050209021105894466,0.010853869396119853,,,,,,,
ind03,0.968027441071256,,0.02125999260042819,,0.03147108898621522,,0.022049126882809578,0.020798978964356805,0.06861183856523345,0.3829393935545299,0.7049066504644909,0.02382158463314592,0.013756493734521258,0.04001207951155574,,,,,,
ind04,0.9678209880961921,0.026322142408508165,0.017107254836195886,,0.07636791537920187,,0.0369782165506247,0.04558244938091625,0.04603026546231428,0.3429632184646034,0.9939346787630232,,,0.10658379871800953,0.013469367989691427,,,,,
ind06,0.981732430518956,0.03286875805830285,,0.02694875591878736,0.03687444647823355,0.24939338537124184,,,0.021087843951936323,0.28010253992292994,0.20205542198127283,0.0228766240109624,0.011151603775619901,0.030071030571830693,,,,,,
ind07,0.9744129107346488,0.032840534125895826,0.0173705352807219,,0.028314281313403876,0.01357330615684067,,0.027557072395218273,0.03588876947617734,0.452600559934326,0.698684236808219,0.027048253369906107,,0.04019004191890543,,,,,,
ind08,0.9743984715629359,0.016004600550438154,,,0.022246960434226026,0.07539166556458843,0.021138925918619256,0.024962436605877845,0.034660132721042736,0.41914024085859236,0.5775424981304427,0.021412043460074727,0.011549913931599343,,,,,,,
ind09,0.9335666670863162,0.07511172314356732,,,0.05497073152026899,,0.06438562811871318,0.04647401885874236,0.12591308623835126,0.5137725426829405,0.5662321873162,0.04153940338846433,0.024988198153534747,0.042756592190826434,,,,,,
ind10,0.9530558977409991,0.03709368813526999,0.019866426236326264,,,0.03615659570177614,0.170640723148773,0.03511894227677652,0.08440281616169834,0.7354316749904662,0.42089886403012544,0.04097287198127435,,,,0.01673966335401065,,,,
ind11,0.9286456052290066,0.05093633805028379,,,0.13718447928955507,0.02447085355052525,0.14662156565147944,0.4920777782747563,0.3902056720321051,0.266289703487314,0.8776751303831143,,0.059127893255891115,,,,0.004674195769667255,,,
ind12,0.9363267825940383,,0.03724178377345024,,0.12330181983496098,0.08986654325705032,0.055615118276420114,,0.12211510030024461,0.33703120204723735,0.5712543690320887,0.03914496231459939,0.08210393683252744,,0.03629259855696605,,,,,
ind13,0.9580529812062953,0.13381412158039135,,,1.8292163899150033,0.016873263046730515,0.09797436653703902,,0.16074092652945032,0.27474308375192164,1.5405390833378487,,0.04150713497526872,0.2903259538169891,,,,0.14014257028448868,,
ind14,0.9539458680071236,,0.016683715558104772,,0.05690725194975823,0.03490723855722504,0.2788058844949071,0.06953436497237502,0.08946311807538002,0.6280994894097595,0.905170396508429,,0.03140074580993777,,,,,,0.04768486439229065,
ind15,0.9557260012738814,0.01782656292229843,,,0.2941086649336312,0.02981446884770973,0.045962566785185885,,0.10932824109226222,0.35706726667378674,0.8290003835162505,0.03910843967254853,0.028453061272671377,0.32765533484419446,,,,,,
ind16,0.9700040605639801,0.052896213680629134,,,0.045476077171237674,0.01280801770648865,0.03181574779908027,0.04992443156805049,0.046023748611018676,0.5913683977445153,0.33911606714202913,0.030650524516503564,,0.046186750459360895,,,,,,
ind17,0.9312454477133535,0.07658831878258303,,0.1379516585301855,,,0.06768357199740005,,0.08802774393533297,0.22584928882931674,0.4562634105360209,0.15876948758126497,0.06178308953367413,0.26165755392569023,,,,,,0.23968131269390663
ind18,0.9614663595764324,0.009948625993685867,,,0.14355092735235056,0.01143322883699165,0.0562582635726824,0.056208043778947704,0.07201253445761172,0.3521069589624449,0.7252023014778388,,0.020685521743702705,0.1255050990355972,,,,,,
ind19,0.9667867142540064,0.07746136236201942,,,0.029121663379530704,0.01134162300550461,0.027076572620393334,0.037071161360398765,0.04240191271778928,0.3966738537672253,0.6011551366843413,0.024181996350393975,0.011192540012921914,,,,,,,
ind20,0.9466787799929118,0.023994296760197688,,,0.09251838516123775,0.010419698694317647,0.08245564518143231,0.09894762114533193,0.11511969311386541,0.3053690712552589,0.8499674075608985,,0.05320242937963173,,,0.017093146596853858,,,,
ind21,0.8929669597709993,0.06954358164682126,0.1299536383482667,,3.4152363525141984,,,2.0788994567962136,1.377409927277957,0.3454728234340132,0.8962069697901995,,,0.9126583303153268,,0.14935417014814914,,0.3788625313991608,,
