,Outdoor PC(0.1),Outdoor PC(0.3),Outdoor PC(0.5),Outdoor PC(1.0),Outdoor PC(2.5),Outdoor PC(5.0),Outdoor PC(10.0),Outdoor PM(0.1),Outdoor PM(0.3),Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PM(2.5),Outdoor PM(5.0),Outdoor PM(10.0),Outdoor Pressure,Outdoor Temperature,Outdoor Humidity,Outdoor Dew Point,Outdoor Wind Direction,Outdoor Wind Speed,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,SolarZenithAngle
Outdoor PC(0.1),1.0,0.9956562187455177,0.9489369912544376,0.8739077991873503,0.6326905321686728,0.4323848398762791,0.020911740138778435,1.000000000000025,0.9963600641769084,0.970715592952439,0.9495080137413362,0.9196348360136823,0.9050321664668592,0.9046323772991507,-0.20968056860498768,0.1757033740559351,0.2825645045770509,0.32272159414826945,-0.24332022149478905,-0.002326295687999637,0.002871942226089575,0.008815359300122175,0.009060287274334826,0.00881535811571312,0.009096587646977839,0.009232858971697025,0.009096590549325661,0.021339175290547,0.00881535685819726,0.0013168389395049778,0.0029135446610448522,0.009257094641647546,0.0088153586743791,0.008815359282336005,0.00881535946844386,0.009075418391396651,0.00881536238083641,0.008815362424214759,-0.019277587577707374
Outdoor PC(0.3),0.9956562187455177,1.0,0.9687482957402678,0.9032306604646841,0.6761673598117588,0.4750898809024311,0.0352620138734256,0.9956562187699843,0.9999688520051359,0.9855312477624453,0.9693268062161622,0.9442123739197812,0.9311555720343846,0.9307841345748676,-0.20717671855114478,0.15638637045391837,0.2749697099412538,0.2983238039967988,-0.22149614848715957,0.0073712359233013645,0.0019500199161162535,0.0027334492194295446,0.00298271743272523,0.0027334481822657263,0.0030193139750367866,0.001168222624198883,0.0030193172572823153,0.014221630512077369,0.00273344691641947,-0.003162657457917631,-0.004526553518142342,0.0011928708333034765,0.002733448895740054,0.0027334491891896867,0.0027334494896328254,0.003009725784613377,0.0027334528971426505,0.0027334531104118115,-0.013135196270091198
Outdoor PC(0.5),0.9489369912544376,0.9687482957402678,1.0,0.961727911726316,0.7799994114129929,0.5838246504494544,0.06545534989118845,0.9489369913953983,0.9673954083839076,0.9967714672978476,0.9964431488253908,0.9857319764919439,0.9776742566666603,0.9773855168905776,-0.18749154538891458,0.10670681381247485,0.27049837928129594,0.2431990026129202,-0.17366122681420668,0.014655305409775353,-0.00028947696414159186,-0.008900333376115488,-0.008756714254976554,-0.008900334238069029,-0.008723915396668195,-0.013657019443756687,-0.008723911745360307,0.001575156031321934,-0.008900335290930742,-0.010038083799973065,-0.01720729894545303,-0.013634227606347601,-0.00890033323317842,-0.008900333474046826,-0.008900333046420182,-0.008717339454554215,-0.008900329115776068,-0.008900328645834128,-0.0013641674082229928
Outdoor PC(1.0),0.8739077991873503,0.9032306604646841,0.961727911726316,1.0,0.9101872943685388,0.7652183943619335,0.2314853734015556,0.8739077993679873,0.9010493797281052,0.9493274577529734,0.9770233255383416,0.9923869847136372,0.9955450857294598,0.9955928993586198,-0.2143141312104381,0.12525659068584183,0.2291796406444641,0.23839694843544576,-0.15901319441436076,0.044073776235361704,-0.0008345573172422324,-0.012901626530626657,-0.012629661242459763,-0.012901627353894897,-0.012600088361796142,-0.018303327467622987,-0.012600084632195684,-0.005426685750289944,-0.012901628261593112,-0.014385916624180779,-0.020803748006102088,-0.018282414326485783,-0.01290162623891383,-0.012901626624290343,-0.01290162623768055,-0.012593933393057347,-0.012901622007450406,-0.012901621453197764,-0.007489373081255073
Outdoor PC(2.5),0.6326905321686728,0.6761673598117588,0.7799994114129929,0.9101872943685388,1.0,0.9571887439916693,0.4499156904128376,0.632690532392867,0.6727096876633475,0.7515307872588967,0.8129594897062653,0.8689109627800027,0.8897985459901934,0.8903862741089139,-0.19332863122487312,0.11127773732073928,0.12911211420402338,0.16806826394391144,-0.09944826268084858,0.06331028180072204,-0.001161141745817086,-0.013269674264963909,-0.013101858996407903,-0.013269674838882735,-0.013080624614093924,-0.018099230949551792,-0.01308062142828055,-0.01162293302698782,-0.013269675648898093,-0.015174367392966046,-0.01998422685209752,-0.018083800266709228,-0.013269673808851535,-0.013269674251889504,-0.013269673947970401,-0.01306647908340409,-0.013269669827038892,-0.013269669218978822,-0.007497804692049354
Outdoor PC(5.0),0.4323848398762791,0.4750898809024311,0.5838246504494544,0.7652183943619335,0.9571887439916693,1.0,0.6115765959950161,0.4323848401057085,0.47162985480422964,0.5524066963657944,0.6296149863489292,0.7054548193714656,0.7365028578450217,0.7374671130386931,-0.164119091931914,0.09675718409408232,0.05359877672329527,0.11261119774179897,-0.060675428625610886,0.06161048477717764,-0.0010853645728583982,-0.010017291502058805,-0.010038370961255238,-0.010017291894276343,-0.010022397591312748,-0.013850360002656869,-0.010022395205270785,-0.011348905639761207,-0.010017292570782297,-0.012713639163594142,-0.015472923915793376,-0.013838741429847633,-0.010017291091960527,-0.010017291448538336,-0.010017291237155968,-0.010018986892652302,-0.010017287763432787,-0.01001728723208365,-0.013817152392511963
Outdoor PC(10.0),0.020911740138778435,0.0352620138734256,0.06545534989118845,0.2314853734015556,0.4499156904128376,0.6115765959950161,1.0,0.020911740323435842,0.03405740612955412,0.05596692412998533,0.11509473666162258,0.17787437048411922,0.2084065627210443,0.2096740640053478,-0.036243503907480754,0.002270489441740851,-0.03138421683285128,-0.021506243932619636,0.015396088551024801,0.012824170842378498,-5.795768740583747e-05,-0.0005094308483755666,-0.0005127256692189026,-0.0005094308493656099,-0.0005120331238178472,-0.0007020724246718321,-0.0005120331200196712,-0.0010665138719263998,-0.0005094309526605843,-0.0008462458148683712,-0.0008290859143774127,-0.0007015652622852428,-0.000509430801982854,-0.000509430820824764,-0.0005094307822397975,-0.0005115155784992727,-0.000509430457739976,-0.0005094304271580298,-0.009891686141151091
Outdoor PM(0.1),1.000000000000025,0.9956562187699843,0.9489369913953983,0.8739077993679873,0.632690532392867,0.4323848401057085,0.020911740323435842,1.0,0.9963600641992437,0.9707155930567862,0.9495080138723133,0.9196348361649228,0.9050321666261845,0.9046323774585092,-0.2096805681151845,0.17570337359856264,0.28256450474806843,0.3227215937687626,-0.24332022099506254,-0.0023262956243458835,0.002871942185003725,0.008815359522248097,0.009060287367939722,0.008815358337838537,0.009096587748744904,0.009232858814172535,0.009096590651092208,0.021339175042412416,0.00881535708032346,0.0013168388688589556,0.0029135447950752614,0.009257094489883756,0.00881535889650437,0.008815359504461526,0.008815359690569536,0.009075418493329166,0.00881536260296138,0.008815362646339905,-0.019277587470621114
Outdoor PM(0.3),0.9963600641769084,0.9999688520051359,0.9673954083839076,0.9010493797281052,0.6727096876633475,0.47162985480422964,0.03405740612955412,0.9963600641992437,1.0,0.9846075062905657,0.967973479167311,0.9424471753768956,0.9292549267975342,0.9288809607172229,-0.20745880850547296,0.15807661660408778,0.2757062190380218,0.3004926003899436,-0.223420869448629,0.006551645939556048,0.0020288309353782446,0.003249942576829681,0.0034989270544531956,0.0032499415268341506,0.003535510800420113,0.0018522675959566283,0.003535514051567424,0.014829790542192094,0.003249940261267562,-0.002783988641362305,-0.0038973712479582136,0.0018768891236370972,0.0032499422274255996,0.003249942547635493,0.0032499428384873907,0.0035249376961996176,0.0032499462051738775,0.003249946404112929,-0.013660323243176004
Outdoor PM(0.5),0.970715592952439,0.9855312477624453,0.9967714672978476,0.9493274577529734,0.7515307872588967,0.5524066963657944,0.05596692412998533,0.9707155930567862,0.9846075062905657,1.0,0.9945001727216883,0.9790162311142822,0.9692735105641477,0.9689557003998363,-0.19515411678728956,0.12375031239555809,0.27407195623098296,0.26309057883251885,-0.19067016804818362,0.012190476318270298,0.00044340675286145604,-0.005111759319309992,-0.0049337164770779825,-0.005111760247001846,-0.004899484674395205,-0.008837392104461649,-0.004899481123992478,0.005788286669044763,-0.005111761374778134,-0.007809765096785404,-0.013110138578628354,-0.008813858264681887,-0.0051117593314370146,-0.0051117593961463705,-0.0051117590088402345,-0.00489829858879136,-0.005111755229042249,-0.005111754841672444,-0.005271944769765867
