Sensor,R2_Test,SolarZenithAngle,Outdoor Dew Point,Outdoor Humidity,Outdoor PC(0.1),585nm,Outdoor PC(2.5),Outdoor Temperature,Outdoor PM(5.0),Outdoor PC(0.5),Outdoor PC(1.0),645nm,Outdoor PC(5.0),Outdoor PM(0.5),Outdoor PM(2.5),Outdoor PM(10.0),Outdoor PC(10.0),560nm,Outdoor Pressure,Outdoor PC(0.3),680nm,Outdoor PM(1.0),705nm
ind01,0.8404900620206204,0.03070718741512777,0.4019699235890773,0.1800589237651167,0.031436643849479085,0.3051119034219853,0.15568598392279526,0.244076614764866,0.07646641144946467,0.14546849747854534,0.4658734958784869,,,,,,,,,,,,
ind02,0.9624991715581956,0.03294550786000387,0.03824568288777053,,0.06960676936892182,0.07396643621668061,0.08705850077487716,0.08466056561514583,0.02985903721675225,0.23756884782500687,0.8389229377450791,0.1953455429250607,,,,,,,,,,,
ind03,0.9622797991544407,0.029109925490098186,0.039883417296621995,,0.03126574137025353,0.06981729938548628,0.03581283577542318,0.07245500399950666,0.07741015961997055,0.23042758180278264,0.8197677214489554,0.10105239777923176,,,,,,,,,,,
ind04,0.9569381281704482,,0.06761457110868015,,0.05113338984733986,0.10289199414281806,0.25323650255177443,0.0535057127995455,,0.21996127461502962,1.1090653264666421,0.10156178224093812,0.18133142649179318,0.06222746347008765,,,,,,,,,
ind06,0.9748991426876765,,,,0.24593606856098313,0.06046757573451202,0.03917819720654232,0.04105216668693932,0.002735217265184642,0.06290415397329326,0.7803566045927611,0.06939343751156572,,,0.0077944557399002076,0.12342072108739507,,,,,,,
ind07,0.9720525309326865,0.020510804275188078,0.037761573495121256,,0.038113355652646376,0.05225935225117093,0.0563089715808756,0.05105441564092339,,0.23883591089484096,1.0620629078374535,0.09217651080250142,,,0.05977342261078953,,,,,,,,
ind08,0.9693832101690272,,,,0.034415344706431705,0.03824336433811746,0.07826271723346871,0.056655763082253355,0.030754907501178354,0.09339806128929626,0.8363717627827818,,,0.008279552776873644,0.01779679470770894,,0.05152160454060466,,,,,,
ind09,0.9231672699932405,,0.05513000345822825,,0.0760639950497872,0.0844153663597685,0.22107366568535522,0.18777414653478441,0.11726211611790446,0.2636183771671775,0.8231014073044957,,,,,,,0.05205724339369364,0.06584067450561855,,,,
ind10,0.9500269352115158,0.022863106410812285,0.043924686853267225,0.0142970204191468,0.15707647166774225,,0.19262401149030917,0.03169818443452643,,0.3028363582108217,0.8373668324213435,,,,0.05731928160213369,,,,0.04718814479655009,,,,
ind11,0.9311881755547671,,0.38991967498165275,,0.10854776604713268,0.14072545908410478,0.14349266528172294,0.411618691257592,0.22760140633965237,0.18847073167750472,0.5873358917023427,,,,0.029150319932907863,,0.05479414440830841,,,,,,
ind12,0.9555268910921773,,,,0.06214076000710052,0.2886289989994203,0.09861106678590995,0.13830565012459012,,0.15460949318672562,0.8708807812306523,0.2797241106121029,0.015248038133348806,,0.034593213859514374,,0.07119503423564762,,,,,,
ind13,0.9619377136373706,0.018414318569212607,0.3517234237710692,,0.16663387936827673,0.2160521560114456,0.2189251732696451,0.32354287177622226,,0.25890435213486274,0.7793228412680631,0.1921631500043669,,,,,,,,0.1244665875656659,,,
ind14,0.9460504153446605,0.022053823177354492,0.0684162946111582,,0.2621430566125912,0.06830148324999472,0.1695453993396025,0.14690374810252993,,0.3967246815256492,0.575415057507404,,,0.02756910968262618,,,,,,0.010129051289132707,,,
ind15,0.9536927634576909,,0.11416863556299402,,0.05848540712201054,0.140989939370035,0.09141873297168464,0.10469008957357913,,0.2819050032887677,0.9319023750468889,0.140599583986054,,,,,0.04686894577327523,,0.03358903247968439,,,,
ind16,0.9684405208055814,,0.03750170919469757,,0.041612168083462506,0.03990093984639616,0.0826763958953834,0.06383539855699139,,0.1868574512329398,0.9741835026686549,0.050501177277548034,,0.0068797243919712205,,,,,0.034668232304995675,,,,
ind17,0.8730755641365808,,0.09776993890022423,0.2942574535498195,0.13042382981642892,,0.16022482819314932,0.05378167206306876,,0.18346738614213198,0.5676373727010741,,,,,,,0.3657693130633818,0.08329535806724161,,0.2021064426224024,,
ind18,0.959644982045981,,0.044906021690152655,,0.06731601522236394,0.20292624950552565,0.1148501866152966,0.10049157969989493,0.0238494780761755,0.15278919012207243,0.8960438806763902,0.19058659294021424,,,,,0.02136073956000748,,,,,,
ind19,0.9573018624554037,,0.04334196590135821,,0.16958567376276384,,0.08044326614670952,0.11512393480667844,0.024070766486027996,0.3366153251062518,0.9684069145546335,,,,0.010511897634992762,,,,0.04327315667638123,,,0.006922713397612812,
ind20,0.9540006241795309,,0.07793791111625155,,0.07518384064905514,0.1378214770217993,0.159336931263586,0.09651325586574008,0.034257524617431326,0.18875427083444757,0.9435534968686591,0.09296191960266054,,,,,0.05411413927175666,,,,,,
ind21,0.909246741826559,0.17660272049383666,4.159805067326222,,,0.43545566470457964,0.2597361409145802,3.167530282897993,,0.18190347022987993,0.8697441677799931,0.1624174962696839,,,,,,0.1667544590654878,,,,,2.0248439239637452
