Sensor,R2_Test,SolarZenithAngle,Outdoor Dew Point,Outdoor Humidity,Outdoor PC(0.1),585nm,Outdoor PC(2.5),Outdoor Temperature,Outdoor PM(5.0),Outdoor PC(0.5),Outdoor PC(1.0),645nm,Outdoor PC(5.0),Outdoor PM(0.5),Outdoor PM(2.5),Outdoor PM(10.0),Outdoor PC(10.0),560nm,Outdoor Pressure,Outdoor PC(0.3),680nm,Outdoor PM(1.0),705nm
ind01,0.8404900620206204,0.42966342933325047,0.7764393168367694,0.5999967346494038,0.49536078830033875,0.6764409513021431,1.3492491846231764,0.6641470567047069,1.2250412080018274,2.6907246168973074,5.598325772529653,,,,,,,,,,,,
ind02,0.9624991715581956,0.5544865464992076,0.4909280467922076,,0.8871173684521668,0.47721016884290396,1.0224979903085487,0.9510706860184011,0.700725182586759,2.5791979711166477,5.18998387444315,1.0874752480107164,,,,,,,,,,,
ind03,0.9622797991544407,0.5878437084340471,0.4983398032732084,,0.5819281454720336,0.5472043275443835,0.6916480454035665,0.7935504166466999,0.6901555579649478,2.422576884680055,5.096948891007023,0.6062059608724097,,,,,,,,,,,
ind04,0.9569381281704482,,0.5855368953871749,,0.8837602179722558,0.6330388676688147,1.0926446058128483,0.4885052334842505,,2.7416674499855924,6.876192017930385,0.7787031528549121,0.9379526764236058,0.8142248922378484,,,,,,,,,
ind06,0.9748991426876765,,,,1.1939422058414986,0.6662324806020321,1.1045977604165373,0.5665531375698345,0.37612392557121177,2.0108708565388054,7.29870001659073,0.8531468544282876,,,0.17538114788154704,2.1543314422098248,,,,,,,
ind07,0.9720525309326865,0.4470151865684707,0.43771456567496103,,0.2506208893302253,0.35709248452721704,0.7167010469583844,0.7159329820626342,,2.3032312811806457,5.970886946537204,0.8996600007156355,,,0.43124288668498295,,,,,,,,
ind08,0.9693832101690272,,,,0.7209166928524139,0.5004220294594308,1.0911102188505954,0.9388908045102553,0.33114161315759516,1.9512509165599514,6.184845651842703,,,0.3423402915462424,0.8158174168915688,,0.9068490075199847,,,,,,
ind09,0.9231672699932405,,0.4734176584133041,,0.9288740807613775,0.8090579418551067,1.4129966628488513,1.2141910673305465,0.526666277517491,2.1392388666500106,4.261955417321036,,,,,,,0.5268571408491022,0.4210755121430495,,,,
ind10,0.9500269352115158,0.37526420801462546,0.5772202515824186,0.30768375930240005,1.6677593716442114,,1.7123160680762504,0.5545041101991689,,2.835733752504665,5.181119507459182,,,,0.4486918164053451,,,,0.5475965640419074,,,,
ind11,0.9311881755547671,,0.6443172447044113,,1.128466914487065,0.6165378093292745,1.4820222730287491,1.5323776162807932,1.1861210180809645,3.125954952338887,5.975287496972575,,,,0.6685720224242778,,0.79724391062093,,,,,,
ind12,0.9555268910921773,,,,1.1537172206592248,0.773848966110158,1.2731708194381597,1.4319172297200906,,2.721367746208598,7.822395958615098,1.1192373340536594,0.2896724669678074,,0.3972462835744463,,1.2164966457758741,,,,,,
ind13,0.9619377136373706,0.452694141922374,0.6541791282651311,,0.976540548533879,0.7299799295513856,1.8431511754912213,1.579627382934185,,3.1230436143822335,6.0781769939844805,0.9424131903224408,,,,,,,,0.2662447806273428,,,
ind14,0.9460504153446605,0.4792487848793878,0.4905338923732083,,1.3480793999118006,0.5387851004141588,1.869328715848109,1.241378509870127,,3.318471104157066,4.980022625620826,,,0.457942780334926,,,,,,0.15175436564392866,,,
ind15,0.9536927634576909,,0.3948994864067473,,1.160407261724651,0.4725247187020282,0.9655354752040838,0.9782622887964243,,3.2066207002062623,7.539996175434441,0.6687102104074392,,,,,0.8855922355543263,,0.37317026498721834,,,,
ind16,0.9684405208055814,,0.5100301253929843,,0.7248608198633468,0.3115885243740845,1.3517217863056687,0.7223939102739032,,2.2967990332524186,6.397638635189824,0.3854052591758621,,0.24193975412607813,,,,,0.514643742973057,,,,
ind17,0.8730755641365808,,0.7367940608391708,0.4381019550835072,1.4926879271188742,,1.5988344494844153,0.3642131738439606,,2.900552255877106,5.1476087247338365,,,,,,,1.008029440252769,0.7654762974679231,,0.46322510381767806,,
ind18,0.959644982045981,,0.5561078438143096,,1.017863777038799,0.768959329781774,1.4857318504200026,1.042171517607601,0.46587464988309973,2.883110774643324,6.602694869629159,0.9824034860518216,,,,,0.10699987947896121,,,,,,
ind19,0.9573018624554037,,0.39097467269615604,,1.9147190861448378,,1.207904844506995,0.9924030003101398,0.31007601128532386,3.2770307848015405,6.674563382203187,,,,0.2658535390154237,,,,0.44366366552752595,,,0.1623527720380046,
ind20,0.9540006241795309,,0.8382518177849594,,1.0635435985324184,0.624839720718487,1.589791321084993,0.8564487205372026,0.20850643321060186,3.0025412916213114,6.98029082709794,0.6516426535096972,,,,,0.5235057184339216,,,,,,
ind21,0.909246741826559,0.9087708428497414,2.4600491162621148,,,1.328568679629167,4.3847233054114545,2.1335242027996233,,2.107297162350332,8.892888037395734,1.266169488408413,,,,,,1.1097348498755135,,,,,1.1062459605423356
