Sensor,R2_Test,Outdoor PC(0.5),645nm,Outdoor Humidity,Outdoor PM(5.0),Outdoor PM(0.3),Outdoor Wind Direction,Outdoor Temperature,585nm,Outdoor PC(1.0),Outdoor Dew Point,SolarZenithAngle,Outdoor Pressure,Outdoor PC(0.1),Outdoor PC(2.5),Outdoor PM(2.5),Outdoor PM(1.0),Outdoor PC(10.0),560nm,705nm,Outdoor PM(0.5),Outdoor PC(0.3),410nm
ind01,0.8752451028516496,0.08698711420405843,0.2402834049299464,0.19453827442634536,0.20606566538711255,0.027570820642597926,0.05133832478843792,0.1788460125627068,0.41059754134718407,0.6758577762418365,0.3249773745711311,,,,,,,,,,,,
ind02,0.9692649955984509,0.18537122508535572,,,0.04634390158661328,,,0.07778388691430031,0.07600167419018249,0.7447741042709073,0.034393770552156575,0.02652929844786862,0.046841223213314964,0.026510895043456585,0.051250715751246914,,,,,,,,
ind03,0.9713793745714046,0.20417071699793338,0.07426127442851779,,0.05605385301406718,,,0.05521603194462168,0.036285769873477335,0.8291985428648166,0.03396106507993128,0.023761169572583275,,0.03309752565278716,,0.02099705176031528,,,,,,,
ind04,0.9686062925201461,0.20372679539768274,0.09374920556742068,,0.16191037046266993,,,0.05862683830576983,0.07221508709136844,0.7841526574248083,,,0.039571420797621236,0.029681911600173017,0.0389707929999624,,0.006518023948528318,,,,,,
ind06,0.9834059745100469,0.0563443372090898,0.04615207133913819,0.014880000481142375,0.3798803952825704,,,0.0144452195574313,0.03831968412447482,0.432177762654669,0.01852699757914642,,,,0.020755568900854348,,,0.04381623946154223,,,,,
ind07,0.9769063674051229,0.12876444561225378,,,0.09067080299841992,,,0.04482085567603931,0.04823526090782282,0.9702143290557956,0.023616605437316827,0.014751090591140548,0.02435119773614809,,0.047581727206630856,0.0173436899733437,,,,,,,
ind08,0.977698970008253,0.13024380497945973,,,0.12062930890266563,,,0.04400433843070697,0.02221171029499962,0.6218848822243732,,,0.021960418261504366,0.026666375389395293,0.02496742489248398,0.09056226706031367,,0.03056588771744866,,,,,
ind09,0.9414535777666211,0.28106323195061644,0.06365731405507372,,,,,0.13541878584911324,0.041496965522211625,1.0901583275929771,0.04034493103976673,,0.056254255823709576,0.06215821900556375,0.07437111085172173,,,,0.025099348268141797,,,,
ind10,0.9581236025126708,0.1863803498519596,,0.012756002844536684,0.03280223480592916,,,0.028853729686570673,,0.872414358924433,0.04399776095617349,0.020569707631149424,0.03581841676818047,0.0735926560453684,0.0743330010494643,,,,,,,,
ind11,0.9553970122666697,0.186462196813523,0.12354081415971936,0.053088565376339325,,,,0.20664112719484481,0.25320258918147004,0.6360861756956728,0.22006379174422186,,,,0.1392899669801638,,,,0.0870938673150686,0.10556951505827264,,,
ind12,0.9574048069180889,0.2074533898934428,,0.03976474771170353,,,,0.2652984396032091,0.25168732636012486,0.8284960619666675,0.24431814434922322,,,0.06419615183116141,0.06738882111810063,,,0.04008586334507665,,0.07790897224635798,,,
ind13,0.9595899681944903,0.21987340936136118,0.14314961260682843,,,,,0.18582168935495655,0.2481360177827165,0.8791866329380598,0.18063944339490862,,,0.15925965155618266,0.08567258912390663,,,,,0.052227930267853086,0.0505579887159703,,
ind14,0.9572038045733644,0.33866748673532016,0.03322936469085667,,,,,0.08787418851597908,0.03750183406419507,0.9344812984089963,0.04336575538830352,,0.04197327668250646,0.2724795874578264,0.11302388488802398,,,,,,,0.06316060559039567,
ind15,0.9610768864699913,0.1067091884710134,0.3520927728430152,0.039746893135041164,0.10287285661113674,,,0.07428876964010775,0.41567363525680034,0.9253352615791435,0.04387687782658438,,,,0.08129884939839556,,,0.022725710184331317,,,,,
ind16,0.9736380405057257,0.17849702777884893,0.04321699029322812,,0.05628882440746001,,,0.05143271889964218,0.0354629749136345,0.8976659462117945,0.03676909118661329,,0.026788019867149425,0.031037202641130968,0.029673850743173504,,,,,,,,
ind17,0.9542907486483888,0.12092156741126185,,0.18750073823318175,,,,,0.1719721961797916,0.5604492463734969,0.07534803241447766,,0.048154179502088626,,0.09325253937606508,,,,0.2894929494849642,0.5465495291594942,,,0.10174343118712241
ind18,0.9656118620321233,0.1377775211990775,0.11222546055100861,,0.08194587808435576,,,0.10166429626939885,0.3657997374936329,0.7757648222904756,0.08808710240415703,,,0.04259590045540904,0.04055822229260455,,,,,0.056066615787189966,,,
ind19,0.9697037933208338,0.2034701183722408,0.02718934898739538,,0.059009048881220716,,,0.039449959179886876,,0.9527811456894802,0.03819907106657574,,0.027854297062528798,0.03378625785485756,0.04135185647225583,0.006612981832790132,,,,,,,
ind20,0.9587185565584763,0.2548930316699238,0.16635841936092519,,0.04333564388557385,,,0.09697453268510454,0.1714496429110825,0.8562950887259643,,,,0.061153819631679165,0.09302079519936284,,,0.040459612111522894,,0.05117409538934679,,,
ind21,0.9202310092782159,0.19792604993234153,0.34859253602168827,,,,,0.4093817118805615,0.9349266004648327,1.1127362767907005,0.6882753297324853,0.09179380370277379,0.06528766217855013,,,,,,0.12320496993885244,0.7997160591491648,,,
