Sensor,R2_Test,Outdoor PC(0.5),645nm,Outdoor Humidity,Outdoor PM(5.0),Outdoor PM(0.3),Outdoor Wind Direction,Outdoor Temperature,585nm,Outdoor PC(1.0),Outdoor Dew Point,SolarZenithAngle,Outdoor Pressure,Outdoor PC(0.1),Outdoor PC(2.5),Outdoor PM(2.5),Outdoor PM(1.0),Outdoor PC(10.0),560nm,705nm,Outdoor PM(0.5),Outdoor PC(0.3),410nm
ind01,0.8752451028516496,2.3810788907975,0.9184206979158441,1.1459070739536028,5.014794664866796,0.6176835357084862,0.4889175646599382,0.6395243045301825,0.4727011899925563,7.328097057575428,0.45022535258633606,,,,,,,,,,,,
ind02,0.9692649955984509,2.178262669981889,,,0.8725300535412244,,,0.7196753889340698,0.8138652579528464,4.598560604644114,0.38524575602610756,0.46028265787352296,0.31375959087103894,0.4351628890640285,0.8058688174926327,,,,,,,,
ind03,0.9713793745714046,2.443385546767674,0.7207616185542962,,1.0809163466996268,,,0.7137888590152219,0.32057649822707773,5.1717119155839315,0.41953261919575474,0.48033210064085574,,0.5905343048390616,,0.3145034931241892,,,,,,,
ind04,0.9686062925201461,2.4936916623556864,0.6551530778821015,,0.8894653808907106,,,0.7339477266385881,0.42480144473349635,6.284082718428804,,,0.3716889511549965,0.3830810069529253,0.6354347817829072,,0.16275485723985525,,,,,,
ind06,0.9834059745100469,1.4927795117500156,0.6161088205845902,0.18663570123357248,4.265726944461978,,,0.27769075596532533,0.46036020117483906,4.642941655020314,0.24039111749527728,,,,0.818874909914312,,,0.4151106501759453,,,,,
ind07,0.9769063674051229,1.9017374003043546,,,0.8106336272938827,,,0.6832990175543833,0.6283664110207952,5.668662207724202,0.3984900818884817,0.31941604702436927,0.22128830470330957,,0.7917098843142252,0.18870418803347033,,,,,,,
ind08,0.977698970008253,2.1452633590572416,,,1.2582086955265983,,,0.900427774194165,0.35796624740565125,4.789463139675492,,,0.4275378131451361,0.7040182901000183,0.601634986842558,1.6398510111503497,,0.26770934810394575,,,,,
ind09,0.9414535777666211,2.412276180031054,0.5880502926964059,,,,,0.9741250871248398,0.31420227031375264,5.2359570665023805,0.3384270418441365,,0.5210480007675958,0.8067010814142612,0.8873796400823912,,,,0.48743819429126156,,,,
ind10,0.9581236025126708,2.1092338735728924,,0.295055893502386,0.2748051285248515,,,0.4560064079640579,,5.433376683157779,0.5874033153202947,0.37824266067747764,0.4496872191585597,0.9029096325069096,1.026209070954118,,,,,,,,
ind11,0.9553970122666697,3.0655482259846143,0.6410647205274402,0.21428691242810624,,,,0.47687584900018176,0.6234738514095958,6.388164577300201,1.0429512903415115,,,,2.361967208346944,,,,0.38545178509056377,0.3790164711062765,,,
ind12,0.9574048069180889,2.7097211518492794,,0.2074843546835715,,,,1.1373349125834944,0.772255496394993,6.295555505372393,0.39742151657693103,,,0.723713787883982,0.6693810218740812,,,0.5287481134094204,,0.26061219700138033,,,
ind13,0.9595899681944903,2.7825927604767955,0.9360363153025786,,,,,1.031333489303805,0.728118257958697,5.872533810980649,0.7002584216387292,,,1.0741305468131548,1.0360420406709314,,,,,0.26106013685262025,0.3960014185556249,,
ind14,0.9572038045733644,2.476603586313996,0.30652358881668906,,,,,0.9055785026851573,0.34525740191669907,5.158789939944228,0.4970061960926809,,0.40018762667095065,1.397580658247622,1.2786814971546137,,,,,,,0.6007756383205101,
ind15,0.9610768864699913,2.587380447722491,0.8429634861217625,0.23261625236123448,1.8724780041765512,,,0.8658620098522062,0.6229162926921501,8.466830138689328,0.4507412472047591,,,,1.3373369743090442,,,1.3702379525012163,,,,,
ind16,0.9736380405057257,2.6685638903047044,0.4003313523415174,,0.7077388552462368,,,0.692706588660275,0.3467035188987607,6.172322187119994,0.4144669970109169,,0.4461135035844061,0.7072421181414997,0.6149049268748997,,,,,,,,
ind17,0.9542907486483888,2.2244396385224565,,0.3956709891421058,,,,,0.6200263408640929,5.933599172941996,0.6643129472562275,,0.5112301109632427,,1.82672440571663,,,,0.919062228385251,0.5349295581057754,,,0.2694175280441027
ind18,0.9656118620321233,2.539655598393198,0.779507664175167,,1.3235381966999868,,,0.8152777432618973,0.8213935923034877,5.953335140897468,0.5844342722497766,,,0.5190198954823924,0.8623518783331541,,,,,0.27890938667062165,,,
ind19,0.9697037933208338,2.4962449566129403,0.36738809433292546,,0.9458078090282106,,,0.46520348213845614,,6.103135106206044,0.5293379469167162,,0.3639615349378,0.792266898578866,0.7842460296742686,0.30240199987409117,,,,,,,
ind20,0.9587185565584763,2.9278572574754347,0.7725923346697484,,0.34208409755629476,,,0.981264937138061,0.6948604993328878,6.014877661900163,,,,1.0268312810071094,0.9441546285327511,,,0.23497884562838833,,0.40894056888568564,,,
ind21,0.9202310092782159,3.4514264246463724,1.4574229824014069,,,,,1.0885489896898908,1.2439946111594609,10.709209054793954,0.9410361691491297,0.5453540175807284,0.5272386390230718,,,,,,0.8086607101580465,0.7116723232544593,,,
