Sensor,R2_Test,585nm,Outdoor PC(2.5),Outdoor PM(0.3),Outdoor PM(2.5),Outdoor Dew Point,Outdoor PC(0.1),Outdoor Temperature,Outdoor PC(0.5),Outdoor PM(5.0),Outdoor PC(1.0),645nm,SolarZenithAngle,Outdoor PM(0.5),Outdoor PM(1.0),Outdoor PC(10.0),Outdoor Pressure,560nm,Outdoor PM(10.0),Outdoor PC(0.3),680nm,705nm
ind01,0.8589958078489992,0.4602555586863599,0.07619736099039146,0.27280186919199473,0.17784782341311095,1.3668628846011304,0.024497772238348127,0.9464714980889173,0.11600181372022293,0.2547379512860225,0.5059519865749598,,,,,,,,,,,
ind02,0.9693276586365156,0.07707853552311247,0.05843463792759747,,,0.048511826770971364,0.03231635433904119,0.06577095665661026,0.1917612020811628,0.0898870015638461,0.7781714846705923,0.102340137381375,0.029615918006094664,,,,,,,,,
ind03,0.971576593564117,0.06264018947171102,0.01934728398062684,,,0.030944233810557265,0.043575814174747804,0.05154391352834127,0.19141346873424142,0.06946315748278116,0.8053975872304544,0.045864460731868804,0.02223955310807584,,,,,,,,,
ind04,0.9683751966554501,0.0704440153153724,0.05194538123991772,,,,0.06502118971728565,0.05714445295039257,0.25270609022484203,0.6639715406709883,0.7317770245178176,0.1175744168035024,0.018899716646775745,0.013816258364696932,,,,,,,,
ind06,0.9823059676968567,0.07110115484527217,0.02039203958275677,,,,0.029004501191420885,0.02172142202591314,0.06680965763081728,0.3006498262054307,0.4246422146797261,0.06044467237785263,,,0.0261083570851518,0.04752687942935936,,,,,,
ind07,0.9749857690380723,0.07028274671812958,0.04615411011267083,,0.006937667667786762,0.03651455387144877,,0.03946587650281006,0.19236286783468107,0.08304079073995851,0.603574594886951,,0.018249449070184,0.015329485607403038,,,,,,,,
ind08,0.9780842872585296,0.028355093324797288,0.01584356461845866,,0.11696463090385811,0.03808352707812233,0.019346380402968166,0.05275790476565116,0.0917061598449967,0.1412309426927155,0.5720869197463179,,,,,,0.021483441532045643,,,,,
ind09,0.9420914071766798,,0.05877068974683908,,,0.05049338454671428,0.0840839373972222,0.11360647121439973,0.17839141734957625,,1.239580234151872,0.0701370770562348,,0.016768500967947908,,,0.0545707380482179,0.032968545925962746,,,,
ind10,0.9576950550371433,,0.07196852175610687,,0.029641703598894776,0.03538209169420088,0.08540842922536736,0.06815789732191528,0.11302949290663858,0.014917232155588756,1.0630110303956617,,0.01870151694981046,,,,0.03739947969588029,,,,,
ind11,0.9512982558629474,0.4125773679664754,0.07458689605546742,,,,0.06184948568033555,0.16611380957643368,0.31842546761021906,0.004833684043902231,0.5185537529796703,0.34728710445360444,,,,0.020814136227972124,,,0.16284163077976394,,,
ind12,0.9480653945736487,0.14699795434545496,0.06004833254019724,,0.02561684557428361,0.2819892333225222,0.10109533404675597,0.2648731430256449,0.17819499035762348,0.14401449807689187,0.6941833291635442,,,,,0.04005667243867863,,,,,,
ind13,0.9589944559651895,0.4085624968175723,0.06870421682110442,,,,0.6642753074472656,0.13929345679138547,0.19166991432646405,0.06944728888494459,0.662251928339674,0.3737140745327387,,0.40577460832457407,,,,,,0.0468984198506708,,
ind14,0.9530125546673551,0.06294501519524813,0.08412404888588676,,,0.08035142668578343,0.4679189050674655,0.09656839231680762,0.29101747368673847,0.018239879824360726,0.8900752995578088,,,0.018381463973622635,,,,,,0.05894415725324957,,
ind15,0.961376481820247,0.22063786521675954,0.04979645630905523,,,0.19898947954654855,0.0331321399228975,0.14722025965118393,0.19072088407184382,0.11414152131253368,0.7317511151022508,0.1986696727502557,,,,,0.03158265360236416,,,,,
ind16,0.9725985196096644,,0.031208720543667766,,0.027564967380910122,0.04395308535742855,0.04052528782282987,0.04570576398119497,0.13083745756306658,0.018270562879777286,0.9756260518279225,0.0323823309235967,,,,,0.027283272904945054,,,,,
ind17,0.9346355702837772,,0.0822459731586835,,,0.09323141021879,0.0943004860253073,0.2647371275695848,0.2351145059074687,,0.742088061489206,,,,,,0.13583758570787824,0.4873106506306943,,,0.1799294486165131,0.9910352355514667
ind18,0.9672237871118137,0.15027876084293734,0.0464151576583413,,,0.05825915600889688,0.04008571759590725,0.07376048090705085,0.1965399372630908,0.0672158514344295,0.8124836045664313,0.1030397275806942,,,,0.014166257997982679,,,,,,
ind19,0.963972414972675,,0.05994651885034248,,0.01594429920576612,0.03545325337015022,0.08061858613074457,0.07107298832148579,0.3288180793247259,2.8638834475436246e-05,1.0494918157277695,,,,,,0.03585373445424811,,0.06462161968814435,,,
ind20,0.9615333336989751,0.10609265425975076,0.12080238254314649,,,0.05189971652069236,0.05861067896176562,0.0790165269953422,0.3601304821939823,0.042463485895603295,0.6633408464693871,0.11659971005185787,,,,0.03890319447360748,,,,,,
ind21,0.8859566718799922,0.4939699681309799,0.17399465653290133,,,0.973875123414504,0.07123123730937911,0.8647114134394238,0.3921027898455792,0.026334787219722246,0.3935481628805023,0.4183369324454337,,,,,,0.07783769656199432,,,,
